Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C28, C29, C9",0603,5,10u,
"C10, C2, C21, C22, C23, C25, C26, C27, C3, C30, C31, C4, C5, C6, C7, C8",0402,16,100n,
"C11, C12",0603,2,10p,
"C13, C14, C15, C16",0603,4,2u2,
C18,0805,1,100n,
"C19, C20",0805,2,22u,
C24,0603,1,2n2,
"D1, D3",0603,2,LED,
D2,D_SOD-123,1,b5819w,
F1,0603,1,500 mA,
"FB1, FB2",0805,2,100R,
"J1, J3, J4, J5",PinSocket_1x04_P2.54mm_Vertical,4,Conn_01x04,
J2,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,
J6,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
J7,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,USB_B_Micro,
L1,L_Sunlord_SWPA4030S,1,3.9uH,
Q1,SOT-23,1,AO3401A,
R1,0603,1,10k,
"R2, R3, R5, R6",0603,4,2k2,
"R4, R7",0603,2,1k,
"S1, S2",SW_TS-1187A-B-A-B,2,TS-1187A-B-A-B,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U2,TSOT-23-6,1,AP63203WU,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U5,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U6,SOT-23-5,1,LD39015M18R,
U7,TSSOP-14_4.4x5mm_P0.65mm,1,NTS0104PW,
U8,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16Mhz,
