Designator,Mid X,Mid Y,Rotation,Layer
C1,47.01,-47.59,180.0,top
C10,45.89,-54.86,270.0,top
C11,40.305,-50.31,0.0,top
C12,40.305,-55.98,180.0,top
C13,57.42,-62.3,0.0,top
C14,60.51,-50.6,90.0,top
C15,63.55,-55.27,180.0,top
C16,63.575,-57.395,180.0,top
C17,62.87,-61.2825,270.0,top
C18,66.14,-64.68,0.0,top
C19,69.7768,-66.837,0.0,top
C2,49.5188,-47.671,0.0,top
C20,69.7782,-68.8138,0.0,top
C21,51.41,-46.27,0.0,top
C22,56.01,-43.12,90.0,top
C23,53.75,-46.25,0.0,top
C24,54.515,-39.62,0.0,top
C25,39.135,-65.755,180.0,top
C26,42.735,-63.76,90.0,top
C27,40.96,-65.755,0.0,top
C28,41.15,-71.675,0.0,top
C29,38.95,-68.325,270.0,top
C3,45.885,-51.608,270.0,top
C30,46.6525,-43.7775,0.0,top
C31,48.4775,-43.7775,180.0,top
C4,50.103,-62.0474,180.0,top
C5,58.13,-61.11,0.0,top
C6,59.31,-49.785,90.0,top
C7,45.8866,-58.6438,270.0,top
C8,45.8866,-56.815,90.0,top
C9,43.7022,-58.7454,0.0,top
D1,60.8026,-42.8442,180.0,top
D2,70.15,-55.6175,90.0,top
D3,59.55,-67.05,0.0,top
F1,67.85,-56.48,270.0,top
FB1,43.6768,-57.1706,180.0,top
FB2,65.9,-56.345,270.0,top
J1,34.2,-48.38,0.0,top
J2,74.045,-61.45,90.0,top
J3,48.16,-74.37,270.0,top
J4,34.15,-60.41,180.0,top
J5,60.17,-74.31,90.0,top
J6,54.38,-34.37,270.0,top
J7,74.91,-47.83,90.0,top
L1,65.45,-67.98,270.0,top
Q1,68.72,-61.6325,90.0,top
R1,41.02,-45.18,0.0,top
R2,52.14,-38.2,270.0,top
R3,50.67,-38.2,270.0,top
R4,60.775,-41.37,180.0,top
R5,54.41,-66.91,270.0,top
R6,51.05,-64.72,0.0,top
R7,59.5445,-68.51,0.0,top
S1,67.16,-41.5,0.0,top
S2,41.17,-41.5,0.0,top
U1,53.06,-54.86,270.0,top
U2,65.3075,-61.6575,90.0,top
U3,67.35,-48.16,270.0,top
U4,52.8325,-43.0125,0.0,top
U5,40.21,-63.23,0.0,top
U6,41.375,-68.9,270.0,top
U7,49.82,-68.2,270.0,top
U8,47.595,-42.02,90.0,top
Y1,40.3142,-53.14,270.0,top
